Order ID,Order Date,Product,Units,Unit Price,Discount,Revenue
ORD-0052,2026-07-01,Mechanical Keyboard,1,4902.33,0.0,4902.33
ORD-0018,2026-07-02,USB Hub,1,1483.54,0.0,1483.54
ORD-0022,2026-07-02,Headphones,1,3483.99,0.05,3309.79
ORD-0032,2026-07-03,Bluetooth Speaker,1,3063.5,0.0,3063.5
ORD-0071,2026-07-03,Power Bank,1,1745.87,0.0,1745.87
ORD-0122,2026-07-03,Mechanical Keyboard,1,4641.94,0.02,4549.1
ORD-0069,2026-07-04,Gaming Chair,1,13327.68,0.05,12661.3
ORD-0108,2026-07-04,Keyboard,2,2271.84,0.08,4180.19
ORD-0113,2026-07-04,Power Bank,1,1882.98,0.0,1882.98
ORD-0129,2026-07-04,Gaming Chair,1,12970.25,0.0,12970.25
ORD-0002,2026-07-06,Keyboard,3,2275.52,0.05,6485.23
ORD-0028,2026-07-06,Smartphone,2,26999.94,0.02,52919.88
ORD-0085,2026-07-06,USB Hub,1,1578.47,0.0,1578.47
ORD-0104,2026-07-06,USB Hub,2,1453.35,0.0,2906.7
ORD-0141,2026-07-06,Laptop,1,66073.19,0.05,62769.53
ORD-0033,2026-07-07,External HDD,1,6831.59,0.0,6831.59
ORD-0041,2026-07-07,Headphones,2,3305.71,0.0,6611.42
ORD-0103,2026-07-07,Laptop,3,66170.98,0.05,188587.29
ORD-0003,2026-07-08,Power Bank,1,1892.18,0.0,1892.18
ORD-0049,2026-07-08,Laptop,2,62498.29,0.0,124996.58
ORD-0053,2026-07-08,WiFi Adapter,1,1110.71,0.05,1055.17
ORD-0068,2026-07-08,SSD 1TB,1,6918.89,0.0,6918.89
ORD-0098,2026-07-08,Webcam,2,2672.97,0.02,5239.02
ORD-0110,2026-07-08,Tablet,1,22343.23,0.05,21226.07
ORD-0119,2026-07-08,Tablet,1,21484.42,0.0,21484.42
ORD-0132,2026-07-08,External HDD,1,6886.46,0.1,6197.81
ORD-0010,2026-07-09,SSD 1TB,1,7346.72,0.0,7346.72
ORD-0039,2026-07-09,Power Bank,1,1837.2,0.0,1837.2
ORD-0055,2026-07-09,Gaming Chair,1,13334.08,0.08,12267.35
